,,,Weight Gurus,,,,,,,WHOOP,,,,,,,,,,,,,,,,,,,STRAVA,,,,,,,,,,,Stryd,,,,,Cycling,,,,,,,,,,,,,,,,,,,Garmin,,,,,,,,,,,,,,,LOSE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,DAYS,WEEK NUMBER,Weight (pounds),Mass (kg),Body Fat %,Muscle Mass %,Water Weight %,BMI (my calculation),Post run weight (pounds),Recovery,Day Strain,Calories,HRV,RHR,Respiratory Rate,VO2 max,Sleep Performance,WHOOP Total Hours of Sleep,Light,REM,WHOOP Deep Sleep,WHOOP Awake,WHOOP Activity,WHOOP Avg HR (bpm),Max HR,WHOOP Duration,WHOOP Activity Calories Burned,WHOOP Activity Strain,Run type,Elevation (ft),Temperature (F),Humidity (%),Feels like,Distance (miles),Time,Average Pace (min/mile),GARMIN Average HR (bpm),Average Cadence (spm),Shoes,Average Power (W),Functional Threshold Power (rFTPw),Average Vertical Oscillation (cm),Average Ground Contact Time (ms),RSS,Cycling Distance (miles),Indoor Cycling Time,Outdoor Cycling Time,Cycling Elevation (ft),Calories,Average ZWIFT Power,Average GARMIN Power,Average Cycling HR,Average Cycling Cadence,Trainer Road TSS,Weekly TSS,Strava estimated FTP (W),zFTP (W),Normalized zFTP (W/kg),zMAP (W),zVO2 max,Zwift Racing Score,Zwift Pace Group,Garmin Avg Running Pwr,Max HR,Average Stride Length (m),Average GC Time Balance (right foot) %,Body Battery Maximum,Training Load,Running VO2 max,Cycling VO2 max,Endurance Score,Garmin HRV Overnight Avg,Garmin RHR,GARMIN Total hours of Sleep,Garmin Deep Sleep,Light Sleep,REM Sleep,Awake,LOSE IT budget,Calories required (low),Calories consumed,Calories required (high),Total Active Time (hrs),GARMIN Calories burned,Net calories,Carbs required (g),Carbs actual (g),Carbs %,Fat required (g),Fat actual (g),Protein required (g),Protein actual (g),Running speed (mph),Running METs (Metabolic EquivalenTs),Indoor Biking METs,Outdoor Biking METs,Calories Burned (MET calculation),Protein (g) / Pound of weight,Intraworkout carbs,Carbs per hour,Sodium (milligrams),Systolic,Diastolic,Heart rate,Temperature,Post workout carbs (grams - high),Post workout protein ideal (grams),Post workout protein - actual (grams),Runtypes,BMR calculation
7/23/2020,,,189.4,85.9,,,,23.67,,,,,,,,,,,,,,,,,,,,,General aerobic,,,,,7.99,1:15:36,0:09:27,148,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,50,,,,,8:56:00,0:59:00,,,,,3977,3241,4735,,1105,213.6,435.6,435.1,,94.7,85.9,142.1,100.6,6.35,9.8,,,1114,,,94.70,161,,,,,142,40.1,23.8,Cross training,
7/24/2020,,,189.4,85.9,,,,23.67,,,,,,,,,,,,,,,,,,,,,Rest,,,,,0.00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,50,,,,,7:12:00,1:23:00,,,,,3977,1863,4735,,0,186.3,435.6,229.0,,94.7,40.1,142.1,61.2,,,,,0,,,94.70,,,,,,142,0.0,,Rest,
7/25/2020,,,189.4,85.9,,,,23.67,,,,,,,,,,,,,,,,,,,,,General aerobic,,,,,8.76,2:48:55,0:19:17,136,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216,50,,,,,6:56:00,1:48:00,,,,,3977,2084,4735,,1994,9.0,435.6,365.5,,94.7,47.8,142.1,43.1,3.11,4.5,,,1143,,,94.70,206,,,,,142,51.5,24.3,Progression,
7/26/2020,,,189.4,85.9,,,,23.67,,,,,,,,,,,,,,,,,,,,,Recovery,,,,,2.97,0:37:51,0:12:44,130,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,50,,,,,8:49:00,1:23:00,,,,,3977,3102,4735,,445,265.7,435.6,520.3,,94.7,58.6,142.1,142.3,4.71,6.0,,,341,,,94.70,206,,,,,142,51.5,24.3,Tempo,
7/27/2020,,,189.4,85.9,17.1,,,23.67,,,,,,,,,,,,,,,,,,,,,Rest,,,,,0.00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,50,,,,,7:10:00,2:09:00,,,,,3977,2700,4735,,0,270.0,435.6,428.1,,94.7,66.6,142.1,111.2,,,,,0,,,94.70,81,,,,,142,20.3,16.3,,
7/28/2020,,,189.2,85.8,,,,23.65,,,,,,,,,,,,,,,,,,,,,Threshold,,,,,8.00,1:07:37,0:08:27,159,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,50,,,,,7:04:00,1:23:00,,,,,3973,3980,4730,,1094,288.6,435.2,602.6,,94.6,107.8,141.9,169.7,7.10,11.0,,,1117,,,94.60,161,,,,,142,40.1,23.8,,
7/29/2020,,,189.2,85.8,,,,23.65,,,,,,,,,,,,,,,,,,,,,Recovery,,,,,5.04,0:49:42,0:09:51,142,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,50,,,,,8:51:00,1:10:00,,,,,3973,4010,4730,,679,333.1,435.2,583.2,,94.6,89.3,141.9,230.6,6.09,9.8,,,731,,,94.60,,,,,,142,0.0,,,
7/30/2020,,,188.1,85.3,17.0,,,23.51,,,,,,,,,,,,,,,,,,,,,General aerobic,,,,,7.99,1:11:23,0:08:56,149,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,50,,,,,7:54:00,1:40:00,,,,,3950,3438,4703,,1218,222.0,432.6,511.2,,94.1,93.2,141.1,156.0,6.72,9.8,,,1045,,,94.05,,,,,,141,0.0,,,
7/31/2020,,,188.1,85.3,16.9,,,23.51,,,,,,,,,,,,,,,,,,,,,Rest,,,,,0.00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,50,,,,,7:37:00,0:17:00,,,,,3950,2410,4703,,0,241.0,432.6,450.6,,94.1,36.0,141.1,84.3,,,,,0,,,94.05,,,,,,141,0.0,,,
8/1/2020,,,188.1,85.3,,,,23.51,,,,,,,,,,,,,,,,,,,,,Medium long,,,,,9.94,1:54:33,0:11:31,145,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,50,,,,,7:15:00,1:14:00,,,,,3950,3627,4703,,1883,174.4,432.6,542.2,,94.1,115.7,141.1,99.2,5.21,8.3,,,1420,,,94.05,,,,,,141,0.0,,,
